date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency,naik/turun
2022-05-09T00:00:00,4620,4560,4560,4560,4300,4310,-310,343682000,1.51E+12,49787,2265,4320,32300,4310,1545100,99062216600,99062216600,47401270643,259204900,198822600,,30454715,1.40E+11,56,Turun
2022-05-10T00:00:00,4310,4120,4140,4380,4120,4340,30,281386300,1.20E+12,28988,2280.8,4340,3653800,4330,26800,99062216600,99062216600,47401270643,188564500,102832000,,16214778,72192823446,41,Naik
2022-05-11T00:00:00,4340,4400,4400,4480,4330,4330,-10,154455400,6.80E+11,20180,2275.5,4340,3000,4330,14240900,99062216600,99062216600,47401270643,88242900,63394400,,17020400,73344754021,35,Turun
2022-05-12T00:00:00,4330,4340,4330,4390,4250,4300,-30,233518500,1.01E+12,21121,2259.8,4300,882100,4290,64100,99062216600,99062216600,47401270643,186263700,186849000,,45900051,1.98E+11,30,Turun
2022-05-13T00:00:00,4300,4250,4250,4350,4230,4260,-40,190889200,8.19E+11,15331,2238.7,4300,23100,4260,1397700,99062216600,99062216600,47401270643,163609200,103680900,,29873580,1.28E+11,17,Turun
2022-05-17T00:00:00,4260,4250,4250,4290,4180,4180,-80,170880700,7.22E+11,23362,2196.7,4200,200,4180,21999700,99062216600,99062216600,47401270643,146676800,99001200,,66208407,2.84E+11,14,Turun
2022-05-18T00:00:00,4180,4230,4220,4290,4190,4250,70,185359500,7.86E+11,17707,2233.5,4250,2168400,4240,100000,99062216600,99062216600,47401270643,127999700,142896000,,25313656,1.07E+11,25,Naik
2022-05-19T00:00:00,4250,4180,4170,4230,4150,4210,-40,112679300,4.72E+11,17840,2212.5,4210,3978400,4200,31100,99062216600,99062216600,47401270643,82637500,72007100,,43797490,1.84E+11,33,Turun
2022-05-20T00:00:00,4210,4220,4220,4230,4170,4170,-40,141701800,5.95E+11,14908,2191.4,4180,14700,4170,14314900,99062216600,99062216600,47401270643,120808400,82876800,,6309689,26554556340,21,Turun
2022-05-23T00:00:00,4170,4160,4160,4180,4070,4110,-60,196569900,8.10E+11,24963,2159.9,4120,27400,4110,25862800,99062216600,99062216600,47401270643,110751000,125131200,,16156435,67741840431,44,Turun
2022-05-24T00:00:00,4110,4120,4130,4200,4120,4150,40,151693700,6.30E+11,12657,2180.9,4160,524800,4150,1611700,99062216600,99062216600,47401270643,109347500,87711300,,39546776,1.64E+11,44,Naik
2022-05-25T00:00:00,4150,4200,4210,4210,4150,4200,50,166595400,6.97E+11,15565,2207.2,4200,1043700,4190,2077200,99062216600,99062216600,47401270643,90663400,82771900,,6189829,25678241670,34,Naik
2022-05-27T00:00:00,4200,4260,4260,4300,4210,4300,100,186513500,7.97E+11,16738,2259.8,4300,1658500,4290,6700,99062216600,99062216600,47401270643,139527100,124207800,,4627467,19721310176,26,Naik
2022-05-30T00:00:00,4300,4340,4330,4340,4200,4250,-50,107614100,4.57E+11,15718,2233.5,4250,61400,4240,112900,99062216600,99062216600,47401270643,61078800,62411400,,27742302,1.18E+11,16,Turun
2022-05-31T00:00:00,4250,4270,4260,4330,4230,4310,60,469620300,2.02E+12,13984,2265,4310,11900,4300,319900,99062216600,99062216600,47401270643,404234100,374319300,,15292044,65287505377,18,Naik
2022-06-02T00:00:00,4310,4390,4370,4390,4270,4290,-20,164481100,7.11E+11,18558,2254.5,4300,919300,4290,500800,99062216600,99062216600,47401270643,108324000,131028100,,19003485,81760806200,18,Turun
2022-06-03T00:00:00,4290,4310,4310,4390,4300,4310,20,108852800,4.73E+11,13281,2265,4330,265600,4310,6398700,99062216600,99062216600,47401270643,58159500,60471300,,32735200,1.42E+11,37,Naik
2022-06-06T00:00:00,4310,4310,4320,4340,4270,4340,30,79319400,3.41E+11,9985,2280.8,4340,10079400,4320,5800,99062216600,99062216600,47401270643,38912100,32121800,,8988631,39149767290,11,Naik
2022-06-07T00:00:00,4340,4340,4340,4340,4250,4250,-90,142504000,6.10E+11,14995,2233.5,4260,1100,4250,34142500,99062216600,99062216600,47401270643,103395800,37325100,,73243617,3.14E+11,31,Turun
2022-06-08T00:00:00,4250,4150,4140,4170,4080,4100,-150,202555900,8.33E+11,34769,2154.7,4110,144200,4100,40833000,99062216600,99062216600,47401270643,110591800,76095900,,43925191,1.88E+11,13,Turun
2022-06-09T00:00:00,4100,4080,4090,4130,4050,4050,-50,148580200,6.05E+11,30440,2128.4,4060,80600,4050,10477700,99062216600,99062216600,47401270643,90313300,71816000,,10409064,42518696984,26,Turun
2022-06-10T00:00:00,4050,4040,4030,4080,4000,4020,-30,189186700,7.63E+11,20390,2112.6,4030,251800,4020,22800,99062216600,99062216600,47401270643,88795300,65760100,,19766435,80001209734,29,Turun
2022-06-13T00:00:00,4020,3950,3950,4100,3930,4080,60,156054900,6.28E+11,19709,2144.2,4090,563300,4080,1650200,99062216600,99062216600,47401270643,64370700,67372000,,2317310,9381497946,19,Naik
